CSDUID,CSD,Period,IndicatorSummaryDescription,Gender,UnitOfMeasure,OriginalValue
4807044,Sedgewick,2021,Unemployment Rate,Female,,0.05000
4807044,Sedgewick,1981,Unemployment Rate,Male,,0.00000
4807044,Sedgewick,1986,Unemployment Rate,Male,,0.08300
4807044,Sedgewick,1991,Unemployment Rate,Male,,0.03600
4807044,Sedgewick,1996,Unemployment Rate,Male,,0.10900
4807044,Sedgewick,2001,Unemployment Rate,Male,,0.05700
4807044,Sedgewick,2006,Unemployment Rate,Male,,0.07100
4807044,Sedgewick,2011,Unemployment Rate,Male,,0.00000
4807044,Sedgewick,2016,Unemployment Rate,Male,,0.06100
4807044,Sedgewick,2021,Unemployment Rate,Male,,0.21000
4807044,Sedgewick,1981,Unemployment Rate,Both,,0.05333
4807044,Sedgewick,1986,Unemployment Rate,Both,,0.06700
4807044,Sedgewick,1991,Unemployment Rate,Both,,0.03200
4807044,Sedgewick,1996,Unemployment Rate,Both,,0.10400
4807044,Sedgewick,2001,Unemployment Rate,Both,,0.05100
4807044,Sedgewick,2006,Unemployment Rate,Both,,0.04000
4807044,Sedgewick,2011,Unemployment Rate,Both,,0.00000
4807044,Sedgewick,2016,Unemployment Rate,Both,,0.07300
4807044,Sedgewick,2021,Unemployment Rate,Both,,0.15000
4807044,Sedgewick,1981,Employment Rate,Female,,0.34722
4807044,Sedgewick,1986,Employment Rate,Female,,0.38235
4807044,Sedgewick,1991,Employment Rate,Female,,0.56061
4807044,Sedgewick,1996,Employment Rate,Female,,0.38889
4807044,Sedgewick,2001,Employment Rate,Female,,0.56000
4807044,Sedgewick,2006,Employment Rate,Female,,0.55696
4807044,Sedgewick,2011,Employment Rate,Female,,0.71200
4807044,Sedgewick,2016,Employment Rate,Female,,0.46300
4807044,Sedgewick,2021,Employment Rate,Female,,0.55000
4807044,Sedgewick,1981,Employment Rate,Male,,0.71212
4807044,Sedgewick,1986,Employment Rate,Male,,0.62857
4807044,Sedgewick,1991,Employment Rate,Male,,0.78261
4807044,Sedgewick,1996,Employment Rate,Male,,0.63077
4807044,Sedgewick,2001,Employment Rate,Male,,0.74627
4807044,Sedgewick,2006,Employment Rate,Male,,0.71233
4807044,Sedgewick,2011,Employment Rate,Male,,0.57500
4807044,Sedgewick,2016,Employment Rate,Male,,0.66700
4807044,Sedgewick,2021,Employment Rate,Male,,0.53000
4807044,Sedgewick,1981,Employment Rate,Both,,0.52174
4807044,Sedgewick,1986,Employment Rate,Both,,0.50725
4807044,Sedgewick,1991,Employment Rate,Both,,0.66176
4807044,Sedgewick,1996,Employment Rate,Both,,0.50365
4807044,Sedgewick,2001,Employment Rate,Both,,0.65500
4807044,Sedgewick,2006,Employment Rate,Both,,0.64200
4807044,Sedgewick,2011,Employment Rate,Both,,0.64400
4807044,Sedgewick,2016,Employment Rate,Both,,0.57000
4807044,Sedgewick,2021,Employment Rate,Both,,0.54000
4807046,Lougheed,1981,Participation Rate,Female,,0.56200
4807046,Lougheed,1986,Participation Rate,Female,,0.60000
4807046,Lougheed,1991,Participation Rate,Female,,0.40000
4807046,Lougheed,1996,Participation Rate,Female,,0.52600
4807046,Lougheed,2001,Participation Rate,Female,,0.72200
4807046,Lougheed,2006,Participation Rate,Female,,0.55600
4807046,Lougheed,2011,Participation Rate,Female,,0.60000
4807046,Lougheed,2016,Participation Rate,Female,,0.50000
4807046,Lougheed,2021,Participation Rate,Female,,0.29000
4807046,Lougheed,1981,Participation Rate,Male,,0.82400
4807046,Lougheed,1986,Participation Rate,Male,,0.80800
4807046,Lougheed,1991,Participation Rate,Male,,0.73700
4807046,Lougheed,1996,Participation Rate,Male,,0.90000
4807046,Lougheed,2001,Participation Rate,Male,,0.75000
4807046,Lougheed,2006,Participation Rate,Male,,0.53300
4807046,Lougheed,2011,Participation Rate,Male,,0.85700
4807046,Lougheed,2016,Participation Rate,Male,,0.77800
4807046,Lougheed,2021,Participation Rate,Male,,0.39000
4807046,Lougheed,1981,Participation Rate,Both,,0.75000
4807046,Lougheed,1986,Participation Rate,Both,,0.73300
4807046,Lougheed,1991,Participation Rate,Both,,0.58800
4807046,Lougheed,1996,Participation Rate,Both,,0.69200
4807046,Lougheed,2001,Participation Rate,Both,,0.76300
4807046,Lougheed,2006,Participation Rate,Both,,0.52900
4807046,Lougheed,2011,Participation Rate,Both,,0.75000
4807046,Lougheed,2016,Participation Rate,Both,,0.62500
4807046,Lougheed,2021,Participation Rate,Both,,0.37000
4807046,Lougheed,1981,Unemployment Rate,Female,,0.00000
4807046,Lougheed,1986,Unemployment Rate,Female,,0.08300
4807046,Lougheed,1991,Unemployment Rate,Female,,0.00000
4807046,Lougheed,1996,Unemployment Rate,Female,,0.30000
4807046,Lougheed,2001,Unemployment Rate,Female,,0.00000
4807046,Lougheed,2006,Unemployment Rate,Female,,0.00000
4807046,Lougheed,2011,Unemployment Rate,Female,,0.00000
4807046,Lougheed,2016,Unemployment Rate,Female,,0.18200
4807046,Lougheed,2021,Unemployment Rate,Female,,0.00000
4807046,Lougheed,1981,Unemployment Rate,Male,,0.00000
4807046,Lougheed,1986,Unemployment Rate,Male,,0.19000
4807046,Lougheed,1991,Unemployment Rate,Male,,0.00000
4807046,Lougheed,1996,Unemployment Rate,Male,,0.00000
4807046,Lougheed,2001,Unemployment Rate,Male,,0.00000
4807046,Lougheed,2006,Unemployment Rate,Male,,0.00000
4807046,Lougheed,2011,Unemployment Rate,Male,,0.00000
4807046,Lougheed,2016,Unemployment Rate,Male,,0.21400
4807046,Lougheed,2021,Unemployment Rate,Male,,0.43000
4807046,Lougheed,1981,Unemployment Rate,Both,,0.00000
4807046,Lougheed,1986,Unemployment Rate,Both,,0.18200
4807046,Lougheed,1991,Unemployment Rate,Both,,0.00000
4807046,Lougheed,1996,Unemployment Rate,Both,,0.14800
4807046,Lougheed,2001,Unemployment Rate,Both,,0.00000
4807046,Lougheed,2006,Unemployment Rate,Both,,0.11100
4807046,Lougheed,2011,Unemployment Rate,Both,,0.00000
4807046,Lougheed,2016,Unemployment Rate,Both,,0.20000
4807046,Lougheed,2021,Unemployment Rate,Both,,0.23000
4807046,Lougheed,1981,Employment Rate,Female,,0.60000
4807046,Lougheed,1986,Employment Rate,Female,,0.55000
4807046,Lougheed,1991,Employment Rate,Female,,0.40000
4807046,Lougheed,1996,Employment Rate,Female,,0.31579
4807046,Lougheed,2001,Employment Rate,Female,,0.77778
4807046,Lougheed,2006,Employment Rate,Female,,0.55556
4807046,Lougheed,2011,Employment Rate,Female,,0.60000
4807046,Lougheed,2016,Employment Rate,Female,,0.36400
4807046,Lougheed,2021,Employment Rate,Female,,0.29000
4807046,Lougheed,1981,Employment Rate,Male,,0.88235
4807046,Lougheed,1986,Employment Rate,Male,,0.65385
4807046,Lougheed,1991,Employment Rate,Male,,0.68421
4807046,Lougheed,1996,Employment Rate,Male,,0.85000
4807046,Lougheed,2001,Employment Rate,Male,,0.75000
4807046,Lougheed,2006,Employment Rate,Male,,0.46667
4807046,Lougheed,2011,Employment Rate,Male,,0.78600
4807046,Lougheed,2016,Employment Rate,Male,,0.61100
4807046,Lougheed,2021,Employment Rate,Male,,0.33000
4807046,Lougheed,1981,Employment Rate,Both,,0.75000
4807046,Lougheed,1986,Employment Rate,Both,,0.60870
4807046,Lougheed,1991,Employment Rate,Both,,0.58824
4807046,Lougheed,1996,Employment Rate,Both,,0.58974
4807046,Lougheed,2001,Employment Rate,Both,,0.76300
4807046,Lougheed,2006,Employment Rate,Both,,0.52900
4807046,Lougheed,2011,Employment Rate,Both,,0.70800
4807046,Lougheed,2016,Employment Rate,Both,,0.47500
4807046,Lougheed,2021,Employment Rate,Both,,0.31000
4808011,Red Deer,1981,Participation Rate,Female,,0.64400
4808011,Red Deer,1986,Participation Rate,Female,,0.67400
4808011,Red Deer,1991,Participation Rate,Female,,0.68500
4808011,Red Deer,1996,Participation Rate,Female,,0.68000
4808011,Red Deer,2001,Participation Rate,Female,,0.69000
4808011,Red Deer,2006,Participation Rate,Female,,0.70600
4808011,Red Deer,2011,Participation Rate,Female,,0.67200
4808011,Red Deer,2016,Participation Rate,Female,,0.67600
4808011,Red Deer,2021,Participation Rate,Female,,0.63000
4808011,Red Deer,1981,Participation Rate,Male,,0.88200
4808011,Red Deer,1986,Participation Rate,Male,,0.84100
4808011,Red Deer,1991,Participation Rate,Male,,0.81800
4808011,Red Deer,1996,Participation Rate,Male,,0.79900
4808011,Red Deer,2001,Participation Rate,Male,,0.81900
4808011,Red Deer,2006,Participation Rate,Male,,0.83300
4808011,Red Deer,2011,Participation Rate,Male,,0.80000
4808011,Red Deer,2016,Participation Rate,Male,,0.77600
4808011,Red Deer,2021,Participation Rate,Male,,0.71000
4808011,Red Deer,1981,Participation Rate,Both,,0.76194
4808011,Red Deer,1986,Participation Rate,Both,,0.75500
4808011,Red Deer,1991,Participation Rate,Both,,0.74900
4808011,Red Deer,1996,Participation Rate,Both,,0.73700
4808011,Red Deer,2001,Participation Rate,Both,,0.75300
4808011,Red Deer,2006,Participation Rate,Both,,0.76900
4808011,Red Deer,2011,Participation Rate,Both,,0.73500
4808011,Red Deer,2016,Participation Rate,Both,,0.72600
4808011,Red Deer,2021,Participation Rate,Both,,0.67000
4808011,Red Deer,1981,Unemployment Rate,Female,,0.05100
4808011,Red Deer,1986,Unemployment Rate,Female,,0.09700
4808011,Red Deer,1991,Unemployment Rate,Female,,0.08700
4808011,Red Deer,1996,Unemployment Rate,Female,,0.08600
4808011,Red Deer,2001,Unemployment Rate,Female,,0.05400
4808011,Red Deer,2006,Unemployment Rate,Female,,0.04300
4808011,Red Deer,2011,Unemployment Rate,Female,,0.05900
4808011,Red Deer,2016,Unemployment Rate,Female,,0.07600
4808011,Red Deer,2021,Unemployment Rate,Female,,0.12000
4808011,Red Deer,1981,Unemployment Rate,Male,,0.04500
4808011,Red Deer,1986,Unemployment Rate,Male,,0.12200
4808011,Red Deer,1991,Unemployment Rate,Male,,0.07900
4808011,Red Deer,1996,Unemployment Rate,Male,,0.10600
4808011,Red Deer,2001,Unemployment Rate,Male,,0.05100
4808011,Red Deer,2006,Unemployment Rate,Male,,0.04500
4808011,Red Deer,2011,Unemployment Rate,Male,,0.06700
4808011,Red Deer,2016,Unemployment Rate,Male,,0.12500
4808011,Red Deer,2021,Unemployment Rate,Male,,0.13000
4808011,Red Deer,1981,Unemployment Rate,Both,,0.04778
4808011,Red Deer,1986,Unemployment Rate,Both,,0.11000
4808011,Red Deer,1991,Unemployment Rate,Both,,0.08300
4808011,Red Deer,1996,Unemployment Rate,Both,,0.09700
4808011,Red Deer,2001,Unemployment Rate,Both,,0.05200
4808011,Red Deer,2006,Unemployment Rate,Both,,0.04400
4808011,Red Deer,2011,Unemployment Rate,Both,,0.06300
4808011,Red Deer,2016,Unemployment Rate,Both,,0.10200
4808011,Red Deer,2021,Unemployment Rate,Both,,0.12000
4808011,Red Deer,1981,Employment Rate,Female,,0.61140
4808011,Red Deer,1986,Employment Rate,Female,,0.60842
4808011,Red Deer,1991,Employment Rate,Female,,0.62609
4808011,Red Deer,1996,Employment Rate,Female,,0.62090
4808011,Red Deer,2001,Employment Rate,Female,,0.65338
4808011,Red Deer,2006,Employment Rate,Female,,0.67542
4808011,Red Deer,2011,Employment Rate,Female,,0.63200
4808011,Red Deer,2016,Employment Rate,Female,,0.62500
4808011,Red Deer,2021,Employment Rate,Female,,0.56000
4808011,Red Deer,1981,Employment Rate,Male,,0.84215
4808011,Red Deer,1986,Employment Rate,Male,,0.73906
4808011,Red Deer,1991,Employment Rate,Male,,0.75361
4808011,Red Deer,1996,Employment Rate,Male,,0.71376
4808011,Red Deer,2001,Employment Rate,Male,,0.77690
4808011,Red Deer,2006,Employment Rate,Male,,0.79576
4808011,Red Deer,2011,Employment Rate,Male,,0.74700
4808011,Red Deer,2016,Employment Rate,Male,,0.67900
4808011,Red Deer,2021,Employment Rate,Male,,0.62000
4808011,Red Deer,1981,Employment Rate,Both,,0.72583
4808011,Red Deer,1986,Employment Rate,Both,,0.67191
4808011,Red Deer,1991,Employment Rate,Both,,0.68754
4808011,Red Deer,1996,Employment Rate,Both,,0.66593
4808011,Red Deer,2001,Employment Rate,Both,,0.71400
4808011,Red Deer,2006,Employment Rate,Both,,0.73500
4808011,Red Deer,2011,Employment Rate,Both,,0.68800
4808011,Red Deer,2016,Employment Rate,Both,,0.65200
4808011,Red Deer,2021,Employment Rate,Both,,0.59000
4805018,Strathmore,1981,Participation Rate,Female,,0.53700
4805018,Strathmore,1986,Participation Rate,Female,,0.63900
4805018,Strathmore,1991,Participation Rate,Female,,0.59700
4805018,Strathmore,1996,Participation Rate,Female,,0.64700
4805018,Strathmore,2001,Participation Rate,Female,,0.66400
4805018,Strathmore,2006,Participation Rate,Female,,0.69200
4805018,Strathmore,2011,Participation Rate,Female,,0.68700
4805018,Strathmore,2016,Participation Rate,Female,,0.65600
4805018,Strathmore,2021,Participation Rate,Female,,0.60000
4805018,Strathmore,1981,Participation Rate,Male,,0.87300
4805018,Strathmore,1986,Participation Rate,Male,,0.82100
4805018,Strathmore,1991,Participation Rate,Male,,0.81500
4805018,Strathmore,1996,Participation Rate,Male,,0.76200
4805018,Strathmore,2001,Participation Rate,Male,,0.80400
4805018,Strathmore,2006,Participation Rate,Male,,0.80700
4805018,Strathmore,2011,Participation Rate,Male,,0.77400
4805018,Strathmore,2016,Participation Rate,Male,,0.75700
4805018,Strathmore,2021,Participation Rate,Male,,0.70000
4805018,Strathmore,1981,Participation Rate,Both,,0.70302
4805018,Strathmore,1986,Participation Rate,Both,,0.72900
4805018,Strathmore,1991,Participation Rate,Both,,0.70500
4805018,Strathmore,1996,Participation Rate,Both,,0.70400
4805018,Strathmore,2001,Participation Rate,Both,,0.73400
4805018,Strathmore,2006,Participation Rate,Both,,0.74900
4805018,Strathmore,2011,Participation Rate,Both,,0.73000
4805018,Strathmore,2016,Participation Rate,Both,,0.70500
4805018,Strathmore,2021,Participation Rate,Both,,0.65000
4805018,Strathmore,1981,Unemployment Rate,Female,,0.04300
4805018,Strathmore,1986,Unemployment Rate,Female,,0.06800
4805018,Strathmore,1991,Unemployment Rate,Female,,0.09500
4805018,Strathmore,1996,Unemployment Rate,Female,,0.04700
4805018,Strathmore,2001,Unemployment Rate,Female,,0.03900
4805018,Strathmore,2006,Unemployment Rate,Female,,0.05500
4805018,Strathmore,2011,Unemployment Rate,Female,,0.05400
4805018,Strathmore,2016,Unemployment Rate,Female,,0.06600
4805018,Strathmore,2021,Unemployment Rate,Female,,0.10000
4805018,Strathmore,1981,Unemployment Rate,Male,,0.01100
4805018,Strathmore,1986,Unemployment Rate,Male,,0.10900
4805018,Strathmore,1991,Unemployment Rate,Male,,0.07100
4805018,Strathmore,1996,Unemployment Rate,Male,,0.02800
4805018,Strathmore,2001,Unemployment Rate,Male,,0.04100
4805018,Strathmore,2006,Unemployment Rate,Male,,0.02600
4805018,Strathmore,2011,Unemployment Rate,Male,,0.05900
4805018,Strathmore,2016,Unemployment Rate,Male,,0.10600
4805018,Strathmore,2021,Unemployment Rate,Male,,0.09000
4805018,Strathmore,1981,Unemployment Rate,Both,,0.02640
4805018,Strathmore,1986,Unemployment Rate,Both,,0.09100
4805018,Strathmore,1991,Unemployment Rate,Both,,0.08100
4805018,Strathmore,1996,Unemployment Rate,Both,,0.03700
4805018,Strathmore,2001,Unemployment Rate,Both,,0.04000
4805018,Strathmore,2006,Unemployment Rate,Both,,0.04000
4805018,Strathmore,2011,Unemployment Rate,Both,,0.05700
4805018,Strathmore,2016,Unemployment Rate,Both,,0.08700
4805018,Strathmore,2021,Unemployment Rate,Both,,0.10000
4805018,Strathmore,1981,Employment Rate,Female,,0.51376
4805018,Strathmore,1986,Employment Rate,Female,,0.59921
4805018,Strathmore,1991,Employment Rate,Female,,0.54000
4805018,Strathmore,1996,Employment Rate,Female,,0.61713
4805018,Strathmore,2001,Employment Rate,Female,,0.63683
4805018,Strathmore,2006,Employment Rate,Female,,0.65360
4805018,Strathmore,2011,Employment Rate,Female,,0.65100
4805018,Strathmore,2016,Employment Rate,Female,,0.61300
4805018,Strathmore,2021,Employment Rate,Female,,0.54000
4805018,Strathmore,1981,Employment Rate,Male,,0.86385
4805018,Strathmore,1986,Employment Rate,Male,,0.73171
4805018,Strathmore,1991,Employment Rate,Male,,0.75685
4805018,Strathmore,1996,Employment Rate,Male,,0.74074
4805018,Strathmore,2001,Employment Rate,Male,,0.77193
4805018,Strathmore,2006,Employment Rate,Male,,0.78599
4805018,Strathmore,2011,Employment Rate,Male,,0.72800
4805018,Strathmore,2016,Employment Rate,Male,,0.67600
4805018,Strathmore,2021,Employment Rate,Male,,0.64000
4805018,Strathmore,1981,Employment Rate,Both,,0.68677
4805018,Strathmore,1986,Employment Rate,Both,,0.66466
4805018,Strathmore,1991,Employment Rate,Both,,0.64587
4805018,Strathmore,1996,Employment Rate,Both,,0.67700
4805018,Strathmore,2001,Employment Rate,Both,,0.70400
4805018,Strathmore,2006,Employment Rate,Both,,0.71900
4805018,Strathmore,2011,Employment Rate,Both,,0.68900
4805018,Strathmore,2016,Employment Rate,Both,,0.64400
4805018,Strathmore,2021,Employment Rate,Both,,0.59000
4805019,Hussar,1981,Participation Rate,Female,,0.66700
4805019,Hussar,1986,Participation Rate,Female,,0.46700
4805019,Hussar,1991,Participation Rate,Female,,0.66700
4805019,Hussar,1996,Participation Rate,Female,,0.81800
4805019,Hussar,2001,Participation Rate,Female,,0.64300
4805019,Hussar,2006,Participation Rate,Female,,0.68800
4805019,Hussar,2011,Participation Rate,Female,,0.69200
4805019,Hussar,2016,Participation Rate,Female,,0.57100
4805019,Hussar,2021,Participation Rate,Female,,0.47000
4805019,Hussar,1981,Participation Rate,Male,,0.85700
4805019,Hussar,1986,Participation Rate,Male,,0.93800
4805019,Hussar,1991,Participation Rate,Male,,0.92900
4805019,Hussar,1996,Participation Rate,Male,,0.75000
4805019,Hussar,2001,Participation Rate,Male,,0.60000
4805019,Hussar,2006,Participation Rate,Male,,0.81200
4805019,Hussar,2011,Participation Rate,Male,,0.71400
4805019,Hussar,2016,Participation Rate,Male,,0.84600
4805019,Hussar,2021,Participation Rate,Male,,0.72000
4805019,Hussar,1981,Participation Rate,Both,,0.84000
4805019,Hussar,1986,Participation Rate,Both,,0.65600
4805019,Hussar,1991,Participation Rate,Both,,0.84000
4805019,Hussar,1996,Participation Rate,Both,,0.75000
4805019,Hussar,2001,Participation Rate,Both,,0.58600
4805019,Hussar,2006,Participation Rate,Both,,0.69700
4805019,Hussar,2011,Participation Rate,Both,,0.70400
4805019,Hussar,2016,Participation Rate,Both,,0.74100
4805019,Hussar,2021,Participation Rate,Both,,0.61000
4805019,Hussar,1981,Unemployment Rate,Female,,0.00000
4805019,Hussar,1986,Unemployment Rate,Female,,0.14300
4805019,Hussar,1991,Unemployment Rate,Female,,0.00000
4805019,Hussar,1996,Unemployment Rate,Female,,0.00000
4805019,Hussar,2001,Unemployment Rate,Female,,0.22200
4805019,Hussar,2006,Unemployment Rate,Female,,0.00000
4805019,Hussar,2011,Unemployment Rate,Female,,0.00000
4805019,Hussar,2016,Unemployment Rate,Female,,0.00000
4805019,Hussar,2021,Unemployment Rate,Female,,0.00000
4805019,Hussar,1981,Unemployment Rate,Male,,0.00000
4805019,Hussar,1986,Unemployment Rate,Male,,0.06700
4805019,Hussar,1991,Unemployment Rate,Male,,0.00000
4805019,Hussar,1996,Unemployment Rate,Male,,0.00000
4805019,Hussar,2001,Unemployment Rate,Male,,0.00000
4805019,Hussar,2006,Unemployment Rate,Male,,0.15400
4805019,Hussar,2011,Unemployment Rate,Male,,0.00000
4805019,Hussar,2016,Unemployment Rate,Male,,0.00000
4805019,Hussar,2021,Unemployment Rate,Male,,0.00000
4805019,Hussar,1981,Unemployment Rate,Both,,0.00000
4805019,Hussar,1986,Unemployment Rate,Both,,0.09500
4805019,Hussar,1991,Unemployment Rate,Both,,0.00000
4805019,Hussar,1996,Unemployment Rate,Both,,0.00000
4805019,Hussar,2001,Unemployment Rate,Both,,0.11800
4805019,Hussar,2006,Unemployment Rate,Both,,0.08700
4805019,Hussar,2011,Unemployment Rate,Both,,0.00000
4805019,Hussar,2016,Unemployment Rate,Both,,0.00000
4805019,Hussar,2021,Unemployment Rate,Both,,0.15000
4805019,Hussar,1981,Employment Rate,Female,,0.58333
4805019,Hussar,1986,Employment Rate,Female,,0.40000
4805019,Hussar,1991,Employment Rate,Female,,0.66667
4805019,Hussar,1996,Employment Rate,Female,,0.81818
4805019,Hussar,2001,Employment Rate,Female,,0.50000
4805019,Hussar,2006,Employment Rate,Female,,0.62500
4805019,Hussar,2011,Employment Rate,Female,,0.69200
4805019,Hussar,2016,Employment Rate,Female,,0.57100
4805019,Hussar,2021,Employment Rate,Female,,0.40000
4805019,Hussar,1981,Employment Rate,Male,,0.92308
4805019,Hussar,1986,Employment Rate,Male,,0.87500
4805019,Hussar,1991,Employment Rate,Male,,0.92857
4805019,Hussar,1996,Employment Rate,Male,,0.83333
4805019,Hussar,2001,Employment Rate,Male,,0.53333
4805019,Hussar,2006,Employment Rate,Male,,0.75000
4805019,Hussar,2011,Employment Rate,Male,,0.71400
4805019,Hussar,2016,Employment Rate,Male,,0.84600
4805019,Hussar,2021,Employment Rate,Male,,0.61000
4805019,Hussar,1981,Employment Rate,Both,,0.76000
4805019,Hussar,1986,Employment Rate,Both,,0.64516
4805019,Hussar,1991,Employment Rate,Both,,0.84000
4805019,Hussar,1996,Employment Rate,Both,,0.79167
4805019,Hussar,2001,Employment Rate,Both,,0.51700
4805019,Hussar,2006,Employment Rate,Both,,0.66700
4805019,Hussar,2011,Employment Rate,Both,,0.70400
4805019,Hussar,2016,Employment Rate,Both,,0.74100
4805019,Hussar,2021,Employment Rate,Both,,0.52000
4805021,Standard,1981,Participation Rate,Female,,0.33300
4805021,Standard,1986,Participation Rate,Female,,0.47600
4805021,Standard,1991,Participation Rate,Female,,0.68200
4805021,Standard,1996,Participation Rate,Female,,0.24100
4805021,Standard,2001,Participation Rate,Female,,0.72700
4805021,Standard,2006,Participation Rate,Female,,0.55200
4805021,Standard,2011,Participation Rate,Female,,0.60000
4805021,Standard,2016,Participation Rate,Female,,0.62100
4805021,Standard,2021,Participation Rate,Female,,0.54000
4805021,Standard,1981,Participation Rate,Male,,0.67600
4805021,Standard,1986,Participation Rate,Male,,0.75000
4805021,Standard,1991,Participation Rate,Male,,0.89700
4805021,Standard,1996,Participation Rate,Male,,0.70000
4805021,Standard,2001,Participation Rate,Male,,0.86200
4805021,Standard,2006,Participation Rate,Male,,0.87100
4805021,Standard,2011,Participation Rate,Male,,0.61300
4805021,Standard,2016,Participation Rate,Male,,0.75000
4805021,Standard,2021,Participation Rate,Male,,0.69000
4805021,Standard,1981,Participation Rate,Both,,0.54237
4805021,Standard,1986,Participation Rate,Both,,0.63300
4805021,Standard,1991,Participation Rate,Both,,0.80800
4805021,Standard,1996,Participation Rate,Both,,0.49200
4805021,Standard,2001,Participation Rate,Both,,0.79000
4805021,Standard,2006,Participation Rate,Both,,0.73300
4805021,Standard,2011,Participation Rate,Both,,0.60700
4805021,Standard,2016,Participation Rate,Both,,0.66700
4805021,Standard,2021,Participation Rate,Both,,0.61000
4805021,Standard,1981,Unemployment Rate,Female,,0.00000
4805021,Standard,1986,Unemployment Rate,Female,,0.00000
4805021,Standard,1991,Unemployment Rate,Female,,0.00000
4805021,Standard,1996,Unemployment Rate,Female,,0.00000
4805021,Standard,2001,Unemployment Rate,Female,,0.00000
4805021,Standard,2006,Unemployment Rate,Female,,0.12500
4805021,Standard,2011,Unemployment Rate,Female,,0.00000
4805021,Standard,2016,Unemployment Rate,Female,,0.11100
4805021,Standard,2021,Unemployment Rate,Female,,0.20000
4805021,Standard,1981,Unemployment Rate,Male,,0.00000
4805021,Standard,1986,Unemployment Rate,Male,,0.04800
4805021,Standard,1991,Unemployment Rate,Male,,0.00000
4805021,Standard,1996,Unemployment Rate,Male,,0.09500
4805021,Standard,2001,Unemployment Rate,Male,,0.00000
4805021,Standard,2006,Unemployment Rate,Male,,0.00000
4805021,Standard,2011,Unemployment Rate,Male,,0.00000
4805021,Standard,2016,Unemployment Rate,Male,,0.09500
4805021,Standard,2021,Unemployment Rate,Male,,0.10000
4805021,Standard,1981,Unemployment Rate,Both,,0.00000
4805021,Standard,1986,Unemployment Rate,Both,,0.03200
4805021,Standard,1991,Unemployment Rate,Both,,0.07100
4805021,Standard,1996,Unemployment Rate,Both,,0.00000
4805021,Standard,2001,Unemployment Rate,Both,,0.04100
4805021,Standard,2006,Unemployment Rate,Both,,0.04500
4805021,Standard,2011,Unemployment Rate,Both,,0.00000
4805021,Standard,2016,Unemployment Rate,Both,,0.05300
4805021,Standard,2021,Unemployment Rate,Both,,0.11000
4805021,Standard,1981,Employment Rate,Female,,0.32000
4805021,Standard,1986,Employment Rate,Female,,0.47619
4805021,Standard,1991,Employment Rate,Female,,0.63636
4805021,Standard,1996,Employment Rate,Female,,0.27586
4805021,Standard,2001,Employment Rate,Female,,0.72727
4805021,Standard,2006,Employment Rate,Female,,0.51724
4805021,Standard,2011,Employment Rate,Female,,0.56000
4805021,Standard,2016,Employment Rate,Female,,0.55200
4805021,Standard,2021,Employment Rate,Female,,0.46000
4805021,Standard,1981,Employment Rate,Male,,0.67647
4805021,Standard,1986,Employment Rate,Male,,0.71429
4805021,Standard,1991,Employment Rate,Male,,0.86207
4805021,Standard,1996,Employment Rate,Male,,0.66667
4805021,Standard,2001,Employment Rate,Male,,0.86207
